"Source","Publication","Table","Variables","AllVariables"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Percent conf interval plus minus net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Lower bound percent net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Upper bound percent net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Percent annual change net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Percent annual change conf interval plus minus net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Lower bound percent annual change net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Upper bound percent annual change net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Employment rate net","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Number ilo unemployed less 6months","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
"Destinations","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","	
Not in employment, education and training and Not in education and training estimates for England and the English regions for ages 16-24.","Conf interval plus minus ilo unemployed less 6months","Time period, Time identifier, Geographic level, Country code, Country name, Region code, Region name, Quarter, Age, Sex, Neetprop, Population, Number neet, Conf interval plus minus neet, Lower bound number neet, Upper bound number neet, Percent conf interval plus minus neet, Lower bound percent neet, Upper bound percent neet, Percent annual change neet, Percent annual change conf interval plus minus neet, Lower bound percent annual change neet, Upper bound percent annual change neet, Number net, Conf interval plus minus net, Lower bound number net, Upper bound number net, Percent net, Percent conf interval plus minus net, Lower bound percent net, Upper bound percent net, Percent annual change net, Percent annual change conf interval plus minus net, Lower bound percent annual change net, Upper bound percent annual change net, Employment rate net, Number ilo unemployed less 6months, Conf interval plus minus ilo unemployed less 6months, Lower bound number ilo unemployed less 6months, Upper bound number ilo unemployed less 6months, Number ilo unemployed more 6months, Conf interval plus minus ilo unemployed more 6months, Lower bound number ilo unemployed more 6months, Upper bound number ilo unemployed more 6months, Number inactive wants a job, Conf interval plus minus inactive wants a job, Lower bound number inactive wants a job, Upper bound number inactive wants a job, Number inactive does not want a job, Conf interval plus minus inactive does not want a job, Lower bound number inactive does not want a job, Upper bound number inactive does not want a job, Number reason inactive looking after family or home, Conf interval plus minus reason inactive looking after family or home, Lower bound number reason inactive looking after family or home, Upper bound number reason inactive looking after family or home, Number reason inactive long-term or temporary sick, Conf interval plus minus reason inactive long-term or temporary sick, Lower bound number reason inactive long-term or temporary sick, Upper bound number reason inactive long-term or temporary sick, Number reason inactive other, Conf interval plus minus reason inactive other, Lower bound number reason inactive other, Upper bound number reason inactive other, Percent ilo unemployed less 6months, Percent conf interval plus minus ilo unemployed less 6months, Lower bound percent ilo unemployed less 6months, Upper bound percent ilo unemployed less 6months, Percent ilo unemployed more 6months, Percent conf interval plus minus ilo unemployed more 6months, Lower bound percent ilo unemployed more 6months, Upper bound percent ilo unemployed more 6months, Percent inactive wants a job, Percent conf interval plus minus inactive wants a job, Lower bound percent inactive wants a job, Upper bound percent inactive wants a job, Percent inactive does not want a job, Percent conf interval plus minus inactive does not want a job, Lower bound percent inactive does not want a job, Upper bound percent inactive does not want a job, Percent reason inactive looking after family or home, Percent conf interval plus minus reason inactive looking after family or home, Lower bound percent reason inactive looking after family or home, Upper bound percent reason inactive looking after family or home, Percent reason inactive long-term or temporary sick, Percent conf interval plus minus reason inactive long-term or temporary sick, Lower bound percent reason inactive long-term or temporary sick, Upper bound percent reason inactive long-term or temporary sick, Percent reason inactive other, Percent conf interval plus minus reason inactive other, Lower bound percent reason inactive other, Upper bound percent reason inactive other"
